"subject","CHILDCARE_ARRANGEMENT","homebased_daycare_yn","licensed_provider_yn"
"26-2495921","Daycare (centre-based or home-based)","Yes","No"
"26-3821707","Care in child’s home by a non-relative","No","Yes"
"26-2526363","Care by a relative","Yes","No"
"26-2491650","Care in someone’s home by a non-relative","No","No"
"26-3816919","Care in child’s home by a non-relative","No","No"
"26-3825583","Daycare (centre-based or home-based)","No","Yes"
"26-2526485","Care in child’s home by a non-relative","Yes","Yes"
"26-1398507","Daycare (centre-based or home-based)","Yes","No"
"26-2492471","Daycare (centre-based or home-based)","No","No"
"26-1346620","Care by a relative","No","Yes"
"26-2982073","Care by a relative","Yes","No"
"26-1362366","Care in child’s home by a non-relative","No","Yes"
"26-3812216","Care by a relative","Yes","No"
"26-1393080","Care by a relative","No","No"
"26-1408994","Care in child’s home by a non-relative","Yes","No"
"26-1373586","Daycare (centre-based or home-based)","No","No"
"26-1398507","Daycare (centre-based or home-based)","No","Yes"
"26-2492313","Daycare (centre-based or home-based)","No","Yes"
"26-2988583","Daycare (centre-based or home-based)","Yes","Yes"
"26-2491971","Care in someone’s home by a non-relative","No","No"
"26-1409857","Care by a relative","Yes","No"
"26-2512454","Care in someone’s home by a non-relative","Yes","No"
"26-3504715","Care by a relative","No","No"
"26-3508296","Care by a relative","Yes","Yes"
"26-2523324","Daycare (centre-based or home-based)","No","Yes"
"26-1356381","Care in child’s home by a non-relative","No","No"
"26-1351907","Care in someone’s home by a non-relative","No","Yes"
"26-1353250","Daycare (centre-based or home-based)","Yes","Yes"
"26-1401026","Daycare (centre-based or home-based)","No","No"
"26-3505429","Care by a relative","Yes","Yes"
"26-1403112","Daycare (centre-based or home-based)","Yes","Yes"
"26-1345259","Care by a relative","Yes","Yes"
"26-1386465","Care in someone’s home by a non-relative","No","No"
"26-3503860","Care in child’s home by a non-relative","Yes","No"
"26-1403995","Care in someone’s home by a non-relative","Yes","No"
"26-3823125","Care in someone’s home by a non-relative","No","Yes"
"26-1375379","Daycare (centre-based or home-based)","No","Yes"
"26-1393680","Care by a relative","Yes","No"
"26-1402216","Care by a relative","No","Yes"
"26-1392681","Daycare (centre-based or home-based)","No","Yes"
"26-2981713","Daycare (centre-based or home-based)","No","No"
"26-3509474","Care by a relative","Yes","Yes"
"26-2522719","Daycare (centre-based or home-based)","No","No"
"26-2533780","Care by a relative","No","Yes"
"26-1379573","Care by a relative","Yes","Yes"
"26-2537440","Care in child’s home by a non-relative","Yes","No"
"26-1364393","Care in child’s home by a non-relative","No","Yes"
"26-2983151","Care in child’s home by a non-relative","No","Yes"
"26-1346481","Care in child’s home by a non-relative","No","No"
"26-3506346","Care in child’s home by a non-relative","Yes","Yes"
"26-3507650","Care by a relative","Yes","Yes"
"26-1375221","Care in child’s home by a non-relative","Yes","No"
"26-3507599","Daycare (centre-based or home-based)","Yes","Yes"
"26-1378044","Daycare (centre-based or home-based)","Yes","No"
"26-1398112","Care in someone’s home by a non-relative","Yes","No"
"26-2535024","Care by a relative","Yes","Yes"
"26-3814500","Daycare (centre-based or home-based)","No","No"
"26-2987495","Daycare (centre-based or home-based)","Yes","Yes"
"26-3504145","Daycare (centre-based or home-based)","No","No"
"26-1356909","Care in someone’s home by a non-relative","Yes","No"
"26-1367680","Care in child’s home by a non-relative","No","Yes"
"26-1867337","Care in someone’s home by a non-relative","No","Yes"
"26-3467849","Care in child’s home by a non-relative","Yes","Yes"
"26-1385231","Care in someone’s home by a non-relative","Yes","Yes"
"26-2523217","Care in someone’s home by a non-relative","No","No"
"26-2495982","Care in someone’s home by a non-relative","Yes","Yes"
"26-2491781","Care in someone’s home by a non-relative","No","No"
"26-3463606","Care by a relative","Yes","No"
"26-1401251","Daycare (centre-based or home-based)","Yes","No"
"26-2494894","Daycare (centre-based or home-based)","Yes","No"
"26-1383241","Daycare (centre-based or home-based)","Yes","No"
"26-3813390","Care in someone’s home by a non-relative","Yes","Yes"
"26-3502149","Daycare (centre-based or home-based)","Yes","Yes"
"26-2986106","Care by a relative","Yes","Yes"
"26-2524880","Care in child’s home by a non-relative","Yes","No"
"26-1388618","Daycare (centre-based or home-based)","No","Yes"
"26-1863237","Care in someone’s home by a non-relative","No","No"
"26-2537889","Daycare (centre-based or home-based)","No","Yes"
"26-3818970","Care by a relative","No","Yes"
"26-1346882","Care in child’s home by a non-relative","Yes","No"
"26-1355768","Daycare (centre-based or home-based)","Yes","Yes"
"26-1353867","Care in child’s home by a non-relative","Yes","Yes"
"26-3822985","Care by a relative","No","No"
"26-1397607","Care in someone’s home by a non-relative","No","No"
"26-1401231","Daycare (centre-based or home-based)","No","Yes"
"26-1369928","Care in child’s home by a non-relative","No","Yes"
"26-1867161","Daycare (centre-based or home-based)","Yes","No"
"26-1868130","Care by a relative","No","Yes"
"26-1867460","Care in someone’s home by a non-relative","Yes","No"
"26-1368423","Daycare (centre-based or home-based)","No","Yes"
"26-1869819","Daycare (centre-based or home-based)","No","No"
"26-1864283","Care in child’s home by a non-relative","Yes","No"
"26-2983235","Care in child’s home by a non-relative","No","No"
"26-3818377","Care in someone’s home by a non-relative","No","No"
"26-1385776","Daycare (centre-based or home-based)","No","No"
"26-3815539","Care in child’s home by a non-relative","No","No"
"26-2519222","Care by a relative","No","Yes"
"26-3828404","Care in child’s home by a non-relative","No","Yes"
"26-2495921","Care in child’s home by a non-relative","Yes","Yes"
"26-1373968","Care by a relative","Yes","Yes"
"26-2524002","Care in child’s home by a non-relative","No","Yes"
"26-1862831","Daycare (centre-based or home-based)","No","Yes"
"26-3828466","Daycare (centre-based or home-based)","No","Yes"
"26-2532012","Care by a relative","No","Yes"
"26-1866435","Care by a relative","Yes","No"
"26-1371203","Care by a relative","Yes","No"
"26-2514439","Care by a relative","No","No"
"26-1383264","Care in child’s home by a non-relative","No","Yes"
"26-1398009","Care by a relative","Yes","No"
"26-1355458","Daycare (centre-based or home-based)","No","No"
"26-1374296","Daycare (centre-based or home-based)","No","Yes"
"26-2524894","Care in someone’s home by a non-relative","No","Yes"
"26-1376577","Care in child’s home by a non-relative","No","Yes"
"26-1863583","Care by a relative","Yes","Yes"
"26-2536237","Care in someone’s home by a non-relative","Yes","Yes"
"26-3828369","Care by a relative","No","Yes"
"26-1383776","Care in someone’s home by a non-relative","Yes","No"
"26-1394062","Care by a relative","No","Yes"
"26-1861025","Care by a relative","No","Yes"
"26-1399764","Daycare (centre-based or home-based)","No","Yes"
"26-1862062","Care by a relative","Yes","Yes"
"26-1377316","Daycare (centre-based or home-based)","Yes","Yes"
"26-2988088","Care by a relative","Yes","Yes"
"26-3827137","Care by a relative","No","Yes"
"26-2518364","Care by a relative","No","Yes"
"26-2533696","Care by a relative","No","Yes"
"26-2536409","Care by a relative","No","Yes"
"26-2989340","Care by a relative","Yes","No"
"26-2537137","Care in someone’s home by a non-relative","No","No"
"26-2497244","Care in someone’s home by a non-relative","No","No"
"26-1383776","Care in child’s home by a non-relative","Yes","No"
"26-2499558","Daycare (centre-based or home-based)","No","Yes"
"26-2524002","Daycare (centre-based or home-based)","No","No"
"26-2494978","Daycare (centre-based or home-based)","Yes","Yes"
"26-1349829","Care in child’s home by a non-relative","No","Yes"
"26-1395798","Care in child’s home by a non-relative","No","Yes"
"26-2495220","Care by a relative","No","No"
"26-1388012","Daycare (centre-based or home-based)","No","Yes"
"26-2988578","Care in someone’s home by a non-relative","Yes","No"
"26-1376653","Care by a relative","Yes","Yes"
"26-2983179","Care in someone’s home by a non-relative","Yes","No"
"26-1344221","Care in child’s home by a non-relative","Yes","Yes"
"26-2495132","Care in child’s home by a non-relative","No","Yes"
"26-1383205","Care in child’s home by a non-relative","No","No"
"26-2982742","Care in child’s home by a non-relative","No","No"
"26-2982829","Daycare (centre-based or home-based)","Yes","No"
"26-1361160","Care in child’s home by a non-relative","Yes","Yes"
"26-1868588","Care in someone’s home by a non-relative","No","No"
"26-1361299","Care in child’s home by a non-relative","Yes","Yes"
"26-1375844","Care by a relative","Yes","Yes"
"26-3829216","Care by a relative","No","Yes"
"26-2527220","Care in child’s home by a non-relative","No","Yes"
"26-2528192","Care by a relative","No","No"
"26-1343375","Care in someone’s home by a non-relative","No","Yes"
"26-3469701","Care by a relative","No","Yes"
"26-2526705","Daycare (centre-based or home-based)","No","Yes"
"26-1403931","Care in someone’s home by a non-relative","No","Yes"
"26-2983643","Care by a relative","No","No"
"26-1351758","Care in child’s home by a non-relative","No","Yes"
"26-1861688","Care in child’s home by a non-relative","Yes","Yes"
"26-1351907","Care in child’s home by a non-relative","Yes","No"
"26-2526858","Daycare (centre-based or home-based)","Yes","Yes"
"26-1348931","Care in someone’s home by a non-relative","Yes","Yes"
"26-3461462","Care by a relative","No","No"
"26-1353555","Care by a relative","No","No"
"26-3824553","Care in child’s home by a non-relative","No","No"
"26-1382780","Care in someone’s home by a non-relative","No","No"
"26-2533039","Care in someone’s home by a non-relative","No","No"
"26-1377159","Care in child’s home by a non-relative","Yes","Yes"
"26-1387121","Care in child’s home by a non-relative","No","Yes"
"26-2519764","Care by a relative","Yes","No"
"26-1379687","Care by a relative","No","Yes"
"26-2533563","Care by a relative","Yes","Yes"
"26-3508296","Care by a relative","Yes","No"
"26-1361769","Care in child’s home by a non-relative","No","No"
"26-2983050","Care in child’s home by a non-relative","Yes","Yes"
"26-1357421","Care in someone’s home by a non-relative","Yes","Yes"
"26-2985963","Care by a relative","Yes","No"
"26-1362703","Care by a relative","No","Yes"
"26-2533387","Care in someone’s home by a non-relative","No","No"
"26-1377078","Daycare (centre-based or home-based)","No","Yes"
"26-1392870","Care in child’s home by a non-relative","No","No"
"26-2494360","Care by a relative","Yes","Yes"
"26-1382079","Care in someone’s home by a non-relative","No","No"
"26-3462064","Care by a relative","Yes","No"
"26-1347422","Care by a relative","Yes","Yes"
"26-3825093","Care by a relative","No","No"
"26-2539094","Care in child’s home by a non-relative","Yes","No"
"26-1347422","Daycare (centre-based or home-based)","Yes","No"
"26-2517720","Care in child’s home by a non-relative","No","No"
"26-1355458","Care in someone’s home by a non-relative","Yes","Yes"
"26-3462461","Care in child’s home by a non-relative","Yes","Yes"
"26-3508477","Care in child’s home by a non-relative","Yes","Yes"
"26-1407760","Care by a relative","No","No"
"26-3509656","Daycare (centre-based or home-based)","No","Yes"
"26-1397536","Care in child’s home by a non-relative","No","Yes"
"26-3507449","Care in someone’s home by a non-relative","Yes","No"
"26-2521340","Care by a relative","Yes","Yes"
"26-1383776","Daycare (centre-based or home-based)","Yes","Yes"
"26-1374181","Care in child’s home by a non-relative","Yes","Yes"
"26-1346799","Care by a relative","No","No"
"26-1862713","Care in someone’s home by a non-relative","Yes","No"
"26-3507519","Daycare (centre-based or home-based)","No","No"
"26-2513529","Care in someone’s home by a non-relative","Yes","Yes"
"26-1393615","Care in someone’s home by a non-relative","No","No"
"26-2524880","Care in child’s home by a non-relative","Yes","Yes"
"26-3811487","Daycare (centre-based or home-based)","Yes","Yes"
"26-2496951","Daycare (centre-based or home-based)","Yes","Yes"
"26-1383741","Care in someone’s home by a non-relative","Yes","No"
"26-3821411","Daycare (centre-based or home-based)","Yes","No"
"26-2494894","Care by a relative","No","No"
"26-1406870","Care by a relative","No","Yes"
"26-1409281","Care in someone’s home by a non-relative","No","Yes"
"26-1343375","Care in someone’s home by a non-relative","Yes","No"
"26-3463862","Care in child’s home by a non-relative","Yes","Yes"
"26-2512454","Care in someone’s home by a non-relative","No","No"
"26-2988716","Care in someone’s home by a non-relative","No","Yes"
"26-2989758","Care by a relative","Yes","No"
"26-1375961","Care in someone’s home by a non-relative","Yes","No"
"26-1398835","Care in child’s home by a non-relative","Yes","Yes"
"26-2982485","Care by a relative","Yes","No"
"26-1867914","Daycare (centre-based or home-based)","No","No"
"26-1345929","Daycare (centre-based or home-based)","Yes","No"
"26-2514963","Care in someone’s home by a non-relative","Yes","Yes"
"26-2525339","Care in child’s home by a non-relative","No","Yes"
"26-1406870","Care by a relative","No","No"
"26-1865334","Care by a relative","Yes","No"
"26-2499308","Daycare (centre-based or home-based)","No","No"
"26-1386526","Care in child’s home by a non-relative","Yes","No"
"26-2534255","Care by a relative","No","Yes"
"26-2498623","Care in child’s home by a non-relative","No","No"
"26-1345164","Care by a relative","Yes","No"
"26-3503808","Daycare (centre-based or home-based)","No","No"
"26-2516566","Care in someone’s home by a non-relative","No","No"
"26-2524946","Care by a relative","Yes","No"
"26-1406169","Care in someone’s home by a non-relative","Yes","Yes"
"26-3467737","Care in child’s home by a non-relative","No","Yes"
"26-1345590","Care in someone’s home by a non-relative","Yes","No"
"26-1352723","Care by a relative","No","No"
"26-3811912","Care by a relative","Yes","Yes"
"26-1864139","Care in child’s home by a non-relative","No","No"
"26-1386373","Care in child’s home by a non-relative","No","Yes"
"26-2981838","Daycare (centre-based or home-based)","Yes","Yes"
"26-2531166","Care by a relative","Yes","Yes"
"26-1354233","Care in child’s home by a non-relative","Yes","No"
"26-1374247","Care in someone’s home by a non-relative","No","Yes"
"26-2527830","Care by a relative","No","Yes"
"26-2533569","Care in someone’s home by a non-relative","Yes","No"
"26-1388954","Care by a relative","Yes","Yes"
"26-2533647","Care in child’s home by a non-relative","No","No"
"26-3505546","Care in someone’s home by a non-relative","No","No"
"26-3813514","Daycare (centre-based or home-based)","Yes","No"
"26-1864540","Care in child’s home by a non-relative","Yes","Yes"
"26-1342066","Care by a relative","No","No"
"26-1401231","Care by a relative","No","Yes"
"26-2988888","Care in child’s home by a non-relative","Yes","No"
"26-2499433","Daycare (centre-based or home-based)","Yes","Yes"
"26-1349452","Care by a relative","Yes","No"
"26-1404917","Care in someone’s home by a non-relative","No","No"
"26-3504968","Daycare (centre-based or home-based)","No","Yes"
"26-3507519","Daycare (centre-based or home-based)","Yes","Yes"
"26-3814154","Care by a relative","No","No"
"26-1867901","Care by a relative","No","No"
"26-3823271","Daycare (centre-based or home-based)","Yes","No"
"26-1399025","Care in someone’s home by a non-relative","No","Yes"
"26-1385776","Care by a relative","Yes","Yes"
"26-3467111","Daycare (centre-based or home-based)","Yes","No"
"26-3828485","Daycare (centre-based or home-based)","Yes","Yes"
"26-2986372","Care in child’s home by a non-relative","No","Yes"
"26-3821257","Care in child’s home by a non-relative","No","No"
"26-3819460","Care in someone’s home by a non-relative","Yes","Yes"
"26-1389516","Daycare (centre-based or home-based)","No","No"
"26-1366382","Care in someone’s home by a non-relative","Yes","Yes"
"26-2989573","Care in someone’s home by a non-relative","No","Yes"
"26-3463923","Care in child’s home by a non-relative","Yes","No"
"26-3824958","Daycare (centre-based or home-based)","No","Yes"
"26-1408734","Care by a relative","No","Yes"
"26-1386401","Daycare (centre-based or home-based)","No","No"
"26-1346953","Care in child’s home by a non-relative","No","No"
"26-1376111","Daycare (centre-based or home-based)","No","No"
"26-2496406","Care in child’s home by a non-relative","No","Yes"
"26-2527016","Care in someone’s home by a non-relative","No","No"
"26-2532373","Care by a relative","No","No"
"26-1363741","Care in child’s home by a non-relative","Yes","No"
"26-3505066","Care by a relative","No","Yes"
"26-3824153","Care by a relative","No","Yes"
"26-1405014","Care by a relative","Yes","No"
"26-1402632","Care in someone’s home by a non-relative","Yes","Yes"
"26-1357802","Care in someone’s home by a non-relative","Yes","Yes"
"26-3816919","Care by a relative","No","Yes"
"26-3825884","Daycare (centre-based or home-based)","Yes","Yes"
"26-1378697","Daycare (centre-based or home-based)","Yes","No"
"26-3816658","Care by a relative","No","Yes"
"26-1356906","Care in someone’s home by a non-relative","No","No"
"26-1388940","Care in child’s home by a non-relative","No","Yes"
"26-3814657","Care by a relative","No","No"
"26-1392791","Daycare (centre-based or home-based)","No","No"
"26-2538994","Care by a relative","Yes","No"
"26-1402632","Care by a relative","No","Yes"
"26-1385398","Daycare (centre-based or home-based)","No","Yes"
"26-1396206","Care in child’s home by a non-relative","Yes","Yes"
"26-1359212","Care in child’s home by a non-relative","Yes","No"
"26-2512032","Care in child’s home by a non-relative","Yes","Yes"
"26-1368171","Care by a relative","Yes","Yes"
"26-2529597","Care by a relative","No","No"
"26-2518615","Care by a relative","Yes","Yes"
"26-1354001","Care in child’s home by a non-relative","No","No"
"26-1389631","Care by a relative","Yes","No"
"26-1355736","Care in someone’s home by a non-relative","Yes","No"
"26-1864158","Care in someone’s home by a non-relative","Yes","Yes"
"26-3468266","Care by a relative","No","Yes"
"26-3821087","Care by a relative","Yes","Yes"
"26-1395382","Care by a relative","Yes","No"
"26-1382260","Care in someone’s home by a non-relative","No","Yes"
"26-2988257","Care in child’s home by a non-relative","No","No"
"26-1386695","Daycare (centre-based or home-based)","No","No"
"26-2512571","Care in someone’s home by a non-relative","Yes","Yes"
"26-1343120","Care in someone’s home by a non-relative","Yes","Yes"
"26-2527133","Daycare (centre-based or home-based)","Yes","Yes"
"26-2518858","Care by a relative","No","No"
"26-1343941","Care in someone’s home by a non-relative","Yes","Yes"
"26-1355675","Care by a relative","Yes","Yes"
"26-2518329","Care in child’s home by a non-relative","Yes","Yes"
"26-2982608","Care in someone’s home by a non-relative","No","Yes"
"26-1364486","Care by a relative","Yes","No"
"26-2528278","Care in someone’s home by a non-relative","No","No"
"26-1374563","Daycare (centre-based or home-based)","No","Yes"
"26-1383016","Care in child’s home by a non-relative","No","Yes"
"26-2981551","Care by a relative","No","Yes"
"26-1391948","Care in someone’s home by a non-relative","Yes","Yes"
"26-1356270","Care by a relative","No","Yes"
"26-1391439","Care in someone’s home by a non-relative","Yes","Yes"
"26-1404662","Care in child’s home by a non-relative","Yes","No"
"26-1867641","Daycare (centre-based or home-based)","Yes","No"
"26-3504968","Daycare (centre-based or home-based)","Yes","No"
"26-2518329","Daycare (centre-based or home-based)","No","No"
"26-1406870","Daycare (centre-based or home-based)","Yes","No"
"26-2523198","Care in someone’s home by a non-relative","Yes","Yes"
"26-1396315","Care by a relative","Yes","No"
"26-2493058","Care by a relative","No","Yes"
"26-2535037","Care by a relative","Yes","No"
"26-2512756","Care in someone’s home by a non-relative","Yes","No"
"26-2533413","Care in child’s home by a non-relative","Yes","No"
"26-1404821","Care in child’s home by a non-relative","No","Yes"
"26-2539702","Care in child’s home by a non-relative","No","Yes"
"26-1375221","Care by a relative","No","No"
"26-3501505","Daycare (centre-based or home-based)","Yes","Yes"
"26-3463012","Care in child’s home by a non-relative","Yes","Yes"
"26-1383758","Care in someone’s home by a non-relative","Yes","Yes"
"26-3821707","Care in someone’s home by a non-relative","Yes","Yes"
"26-3828877","Daycare (centre-based or home-based)","No","Yes"
"26-1868743","Care in someone’s home by a non-relative","Yes","No"
"26-1867719","Care by a relative","Yes","Yes"
"26-2531808","Care in someone’s home by a non-relative","Yes","No"
"26-3462597","Daycare (centre-based or home-based)","No","No"
"26-1379345","Care in someone’s home by a non-relative","No","Yes"
"26-1868760","Care in someone’s home by a non-relative","No","Yes"
"26-3828115","Care by a relative","Yes","No"
"26-3509953","Care in someone’s home by a non-relative","No","No"
"26-2511466","Care in child’s home by a non-relative","Yes","Yes"
"26-1398517","Care in child’s home by a non-relative","Yes","Yes"
"26-1376464","Care in child’s home by a non-relative","Yes","Yes"
"26-2522188","Daycare (centre-based or home-based)","Yes","Yes"
"26-3821411","Care in someone’s home by a non-relative","Yes","No"
"26-1367928","Care in someone’s home by a non-relative","No","No"
"26-2526268","Care in child’s home by a non-relative","No","Yes"
"26-2511108","Care in someone’s home by a non-relative","No","No"
"26-1395622","Daycare (centre-based or home-based)","No","No"
"26-1406754","Daycare (centre-based or home-based)","Yes","No"
"26-2519133","Daycare (centre-based or home-based)","No","Yes"
"26-3505093","Daycare (centre-based or home-based)","Yes","No"
"26-2537374","Care in someone’s home by a non-relative","Yes","Yes"
"26-2529678","Daycare (centre-based or home-based)","No","Yes"
"26-1355736","Daycare (centre-based or home-based)","Yes","Yes"
"26-3824569","Care in child’s home by a non-relative","Yes","No"
"26-2519719","Care in child’s home by a non-relative","No","No"
"26-3822009","Care by a relative","Yes","No"
"26-2514681","Care by a relative","No","No"
"26-1386714","Care in child’s home by a non-relative","Yes","Yes"
"26-1379672","Care in someone’s home by a non-relative","Yes","Yes"
"26-2528282","Daycare (centre-based or home-based)","No","No"
"26-1385816","Daycare (centre-based or home-based)","Yes","Yes"
"26-3507519","Care in child’s home by a non-relative","Yes","No"
"26-2985315","Care by a relative","Yes","No"
"26-2988655","Daycare (centre-based or home-based)","No","No"
"26-2533780","Care in someone’s home by a non-relative","Yes","No"
"26-1375434","Care by a relative","Yes","Yes"
"26-1365565","Daycare (centre-based or home-based)","No","No"
"26-1402216","Daycare (centre-based or home-based)","Yes","No"
"26-1393000","Daycare (centre-based or home-based)","Yes","No"
"26-3463012","Daycare (centre-based or home-based)","Yes","Yes"
"26-3812926","Care by a relative","Yes","No"
"26-2986106","Care by a relative","Yes","Yes"
"26-3467345","Daycare (centre-based or home-based)","No","Yes"
"26-1357421","Care by a relative","No","No"
"26-2522318","Care in someone’s home by a non-relative","No","Yes"
"26-3814376","Care by a relative","Yes","No"
"26-1371968","Care in child’s home by a non-relative","No","No"
"26-1342081","Care by a relative","No","Yes"
"26-1406754","Care in someone’s home by a non-relative","No","Yes"
"26-3504715","Care in child’s home by a non-relative","Yes","Yes"
"26-1361623","Care by a relative","No","Yes"
"26-1861842","Care in child’s home by a non-relative","No","No"
"26-1369220","Care in someone’s home by a non-relative","Yes","Yes"
"26-1347117","Daycare (centre-based or home-based)","Yes","Yes"
"26-2517484","Care by a relative","No","No"
"26-1375233","Care in someone’s home by a non-relative","Yes","No"
"26-2517195","Care in child’s home by a non-relative","No","No"
"26-3466804","Daycare (centre-based or home-based)","Yes","Yes"
"26-2497244","Daycare (centre-based or home-based)","No","No"
"26-3508324","Care in child’s home by a non-relative","No","No"
"26-1375233","Care by a relative","No","No"
"26-2498926","Care by a relative","Yes","Yes"
"26-1371203","Care in child’s home by a non-relative","Yes","No"
"26-1355862","Daycare (centre-based or home-based)","No","Yes"
"26-3825692","Daycare (centre-based or home-based)","No","Yes"
"26-2539920","Daycare (centre-based or home-based)","Yes","Yes"
"26-1867460","Daycare (centre-based or home-based)","No","No"
"26-3506047","Care in someone’s home by a non-relative","Yes","No"
"26-2495220","Care by a relative","Yes","No"
"26-1347754","Care in child’s home by a non-relative","No","Yes"
"26-2524334","Care by a relative","Yes","Yes"
"26-3816598","Daycare (centre-based or home-based)","Yes","Yes"
"26-3816502","Care by a relative","No","No"
"26-2534116","Care in child’s home by a non-relative","No","No"
"26-3828369","Care by a relative","No","No"
"26-1352230","Care in child’s home by a non-relative","No","Yes"
"26-3466909","Care by a relative","No","No"
"26-1392476","Daycare (centre-based or home-based)","Yes","Yes"
"26-2513060","Daycare (centre-based or home-based)","Yes","Yes"
"26-2534255","Daycare (centre-based or home-based)","No","No"
"26-3813096","Daycare (centre-based or home-based)","No","Yes"
"26-3501505","Care by a relative","Yes","No"
"26-3818177","Daycare (centre-based or home-based)","No","No"
"26-1398009","Daycare (centre-based or home-based)","Yes","No"
"26-1352772","Care in someone’s home by a non-relative","Yes","No"
"26-1388420","Care in child’s home by a non-relative","Yes","No"
"26-1355968","Care in child’s home by a non-relative","No","Yes"
"26-3501692","Daycare (centre-based or home-based)","Yes","Yes"
"26-1355736","Daycare (centre-based or home-based)","No","No"
"26-1376425","Care in child’s home by a non-relative","No","No"
"26-2499583","Care in child’s home by a non-relative","Yes","Yes"
"26-1861070","Daycare (centre-based or home-based)","No","No"
"26-3814601","Care in someone’s home by a non-relative","Yes","No"
"26-1361251","Care in child’s home by a non-relative","No","Yes"
"26-1344831","Daycare (centre-based or home-based)","No","Yes"
"26-1346799","Daycare (centre-based or home-based)","Yes","Yes"
"26-3503034","Care by a relative","Yes","No"
"26-1398243","Daycare (centre-based or home-based)","Yes","Yes"
"26-1357158","Care in someone’s home by a non-relative","Yes","No"
"26-3462064","Care in child’s home by a non-relative","Yes","Yes"
"26-1364291","Daycare (centre-based or home-based)","Yes","No"
"26-3828816","Care by a relative","Yes","Yes"
"26-1387067","Care in someone’s home by a non-relative","Yes","No"
"26-1361160","Daycare (centre-based or home-based)","No","Yes"
"26-1861020","Care by a relative","Yes","No"
"26-1865907","Care in child’s home by a non-relative","Yes","Yes"
"26-2986183","Care by a relative","No","Yes"
"26-2984577","Care in child’s home by a non-relative","No","Yes"
"26-3818699","Care in child’s home by a non-relative","No","Yes"
"26-2512756","Daycare (centre-based or home-based)","No","No"
"26-2538901","Care in child’s home by a non-relative","Yes","No"
"26-2988506","Care in child’s home by a non-relative","No","Yes"
"26-1867161","Daycare (centre-based or home-based)","No","Yes"
"26-1378728","Care in someone’s home by a non-relative","No","No"
"26-2986133","Care in child’s home by a non-relative","No","Yes"
"26-1353250","Care by a relative","No","Yes"
"26-3829291","Care by a relative","No","Yes"
"26-1384852","Daycare (centre-based or home-based)","No","No"
"26-2492437","Daycare (centre-based or home-based)","Yes","Yes"
"26-3816380","Care in someone’s home by a non-relative","Yes","Yes"
"26-1382780","Daycare (centre-based or home-based)","No","No"
"26-3467118","Care by a relative","No","No"
"26-1401290","Care by a relative","No","No"
"26-2532004","Care in someone’s home by a non-relative","Yes","Yes"
"26-1386055","Care by a relative","Yes","No"
"26-1355177","Care in child’s home by a non-relative","No","No"
"26-3814569","Care by a relative","Yes","No"
"26-2986209","Daycare (centre-based or home-based)","No","No"
"26-2539747","Care in someone’s home by a non-relative","No","Yes"
"26-2538901","Care in someone’s home by a non-relative","No","Yes"
"26-2538053","Care in child’s home by a non-relative","No","No"
"26-2525934","Care in someone’s home by a non-relative","Yes","No"
"26-2538277","Care in someone’s home by a non-relative","No","No"
"26-2536136","Daycare (centre-based or home-based)","No","Yes"
"26-1388558","Care in someone’s home by a non-relative","No","No"
"26-1382838","Care in someone’s home by a non-relative","Yes","No"
"26-2532652","Care by a relative","Yes","Yes"
"26-1862713","Care by a relative","Yes","No"
"26-1387429","Care in someone’s home by a non-relative","Yes","Yes"
"26-1375891","Daycare (centre-based or home-based)","Yes","No"
"26-2499327","Care in child’s home by a non-relative","No","Yes"
"26-2987348","Daycare (centre-based or home-based)","No","Yes"
"26-2495132","Daycare (centre-based or home-based)","Yes","Yes"
"26-2988888","Care in someone’s home by a non-relative","No","Yes"
"26-1396354","Care in someone’s home by a non-relative","No","Yes"
"26-2531402","Care in child’s home by a non-relative","Yes","Yes"
"26-3507828","Daycare (centre-based or home-based)","No","No"
"26-2496406","Care in child’s home by a non-relative","No","No"
"26-1396767","Care in someone’s home by a non-relative","No","Yes"
"26-3814376","Daycare (centre-based or home-based)","Yes","No"
"26-1393724","Care by a relative","No","Yes"
"26-1369737","Care by a relative","Yes","Yes"
"26-1344930","Daycare (centre-based or home-based)","No","No"
"26-1352070","Care in child’s home by a non-relative","Yes","Yes"
"26-1399025","Care in child’s home by a non-relative","No","No"
"26-1393340","Daycare (centre-based or home-based)","Yes","Yes"
"26-1353870","Care by a relative","No","Yes"
"26-2985344","Care in child’s home by a non-relative","No","No"
"26-1354431","Daycare (centre-based or home-based)","No","No"
"26-2534507","Care in someone’s home by a non-relative","No","Yes"
"26-1386052","Care by a relative","No","Yes"
"26-2539350","Care by a relative","Yes","No"
"26-1863272","Care by a relative","Yes","No"
"26-3507811","Care in someone’s home by a non-relative","Yes","No"
"26-2531226","Daycare (centre-based or home-based)","Yes","No"
"26-2532383","Care in someone’s home by a non-relative","Yes","No"
"26-2527830","Care in child’s home by a non-relative","Yes","No"
"26-1863555","Care in someone’s home by a non-relative","Yes","No"
"26-1362366","Care in someone’s home by a non-relative","Yes","Yes"
"26-2537542","Care in child’s home by a non-relative","No","Yes"
"26-1867641","Care in child’s home by a non-relative","No","Yes"
"26-1864540","Daycare (centre-based or home-based)","No","No"
"26-2517928","Care in someone’s home by a non-relative","No","Yes"
"26-1403331","Care by a relative","Yes","Yes"
"26-1378554","Care by a relative","No","No"
