"subject","instanceid","FAMILY_INCOM"
"26-2499583",868125,"$100,000 to $149,999"
"26-2499583",2491434,"$100,000 to $149,999"
"26-2499639",657737,"$20,000 to $29,999"
"26-2499639",1731988,"$20,000 to $29,999"
"26-2499639",2640381,"$20,000 to $29,999"
"26-2499644",214901,"$150, 000 to $199, 999"
"26-2499644",463396,"$150, 000 to $199, 999"
"26-2499644",1489725,"$150, 000 to $199, 999"
"26-2499724",206613,"$200, 000 to $299, 999"
"26-2499724",2116082,"$200, 000 to $299, 999"
"26-2499724",2525338,"$200, 000 to $299, 999"
"26-2499871",44648,"$150,000 or more"
"26-2499871",1151750,"$150,000 or more"
"26-2499897",537023,"$20,000 to $29,999"
"26-2499928",545982,"Less than $10,000"
"26-2499928",612836,"Less than $10,000"
"26-2499928",1805806,"Less than $10,000"
"26-2499928",1850591,"Less than $10,000"
"26-2511101",673942,"$60,000 to $79,999"
"26-2511101",1003444,"$60,000 to $79,999"
"26-2511101",1694167,"$60,000 to $79,999"
"26-2511108",388873,"$150,000 or more"
"26-2511108",1154229,"$150,000 or more"
"26-2511108",1994549,"$150,000 or more"
"26-2511206",1349994,"$150,000 or more"
"26-2511237",463236,"$150, 000 to $199, 999"
"26-2511346",219057,"$150,000 or more"
"26-2511346",1278808,"$150,000 or more"
"26-2511346",1573532,"$150,000 or more"
"26-2511466",847676,"$150,000 or more"
"26-2511466",2336153,"$150,000 or more"
"26-2511508",1635218,"$40,000 to $49,999"
"26-2511508",1785490,"$40,000 to $49,999"
"26-2511508",1928301,"$40,000 to $49,999"
"26-2511756",1120420,"$200, 000 to $299, 999"
"26-2511756",1499302,"$200, 000 to $299, 999"
"26-2511756",1692438,"$200, 000 to $299, 999"
"26-2511867",284081,"$150, 000 to $199, 999"
"26-2511867",670920,"$150, 000 to $199, 999"
"26-2511867",1474367,"$150, 000 to $199, 999"
"26-2511867",1744122,"$150, 000 to $199, 999"
"26-2511889",180874,"$100,000 to $149,999"
"26-2511889",1307736,"$100,000 to $149,999"
"26-2512032",76769,"$200, 000 to $299, 999"
"26-2512032",908301,"$200, 000 to $299, 999"
"26-2512032",1577024,"$200, 000 to $299, 999"
"26-2512032",1717160,"$200, 000 to $299, 999"
"26-2512032",2028313,"$200, 000 to $299, 999"
"26-2512032",2269529,"$200, 000 to $299, 999"
"26-2512112",1295427,"$80,000 to $99,999"
"26-2512114",494008,"$200, 000 to $299, 999"
"26-2512114",1274608,"$200, 000 to $299, 999"
"26-2512171",237458,"$80,000 to $99,999"
"26-2512171",432094,"$80,000 to $99,999"
"26-2512221",2065222,"$50,000 to $59,999"
"26-2512303",1348947,"$500, 000 or more"
"26-2512454",223839,"$80,000 to $99,999"
"26-2512454",367524,"$80,000 to $99,999"
"26-2512454",1175566,"$80,000 to $99,999"
"26-2512454",1851559,"$80,000 to $99,999"
"26-2512454",1886212,"$80,000 to $99,999"
"26-2512454",2161779,"$80,000 to $99,999"
"26-2512454",2259104,"$80,000 to $99,999"
"26-2512518",771008,"$150, 000 to $199, 999"
"26-2512518",1869925,"$150, 000 to $199, 999"
"26-2512518",2515658,"$150, 000 to $199, 999"
"26-2512532",404459,"$150, 000 to $199, 999"
"26-2512532",1799981,"$150, 000 to $199, 999"
"26-2512552",2385340,"$60,000 to $79,999"
"26-2512560",140916,"$100,000 to $149,999"
"26-2512560",1741816,"$100,000 to $149,999"
"26-2512560",1787819,"$100,000 to $149,999"
"26-2512571",967198,"$40,000 to $49,999"
"26-2512571",1385710,"$40,000 to $49,999"
"26-2512571",1907353,"$40,000 to $49,999"
"26-2512571",2523253,"$40,000 to $49,999"
"26-2512680",1633462,"$500, 000 or more"
"26-2512680",2143222,"$500, 000 or more"
"26-2512756",247065,"$80,000 to $99,999"
"26-2512756",347876,"$80,000 to $99,999"
"26-2512756",2166559,"$80,000 to $99,999"
"26-2512801",1601789,"$150,000 or more"
"26-2513060",1503912,"$80,000 to $99,999"
"26-2513060",2414020,"$80,000 to $99,999"
"26-2513083",1054113,"$150, 000 to $199, 999"
"26-2513083",1835897,"$150, 000 to $199, 999"
"26-2513090",384266,"$100,000 to $149,999"
"26-2513090",1354542,"$100,000 to $149,999"
"26-2513090",1684522,"$100,000 to $149,999"
"26-2513090",1785564,"$100,000 to $149,999"
"26-2513090",1794956,"$150,000 or more"
"26-2513090",1856536,"$100,000 to $149,999"
"26-2513090",1954290,"$100,000 to $149,999"
"26-2513149",42670,"$150,000 or more"
"26-2513149",161314,"$150,000 or more"
"26-2513149",300103,"$150,000 or more"
"26-2513149",670235,"$150,000 or more"
"26-2513149",870730,"$150,000 or more"
"26-2513149",1365739,"$150,000 or more"
"26-2513149",1893214,"$150,000 or more"
"26-2513155",347900,"$300, 000 to $499, 999"
"26-2513162",1918180,"$100,000 to $149,999"
"26-2513213",1153007,"$50,000 to $59,999"
"26-2513390",1484402,"$60,000 to $79,999"
"26-2513390",1567481,"$60,000 to $79,999"
"26-2513501",341682,"$100,000 to $149,999"
"26-2513501",1801163,"$100,000 to $149,999"
"26-2513501",2059638,"$100,000 to $149,999"
"26-2513529",1458621,"$100,000 to $149,999"
"26-2513529",2151650,"$100,000 to $149,999"
"26-2513529",2510575,"$100,000 to $149,999"
"26-2513534",162908,"$100,000 to $149,999"
"26-2513652",1348797,"$100,000 to $149,999"
"26-2513652",1833194,"$100,000 to $149,999"
"26-2513652",1834436,"$100,000 to $149,999"
"26-2513652",2191953,"$100,000 to $149,999"
"26-2513671",1167190,"$100,000 to $149,999"
"26-2513671",1598038,"$100,000 to $149,999"
"26-2513671",1991608,"$100,000 to $149,999"
"26-2513830",203173,"$200, 000 to $299, 999"
"26-2513830",2209178,"$200, 000 to $299, 999"
"26-2513868",9007,"$50,000 to $59,999"
"26-2513868",134855,"$50,000 to $59,999"
"26-2513868",1009327,"$50,000 to $59,999"
"26-2513868",2239989,"$50,000 to $59,999"
"26-2513868",2426118,"$50,000 to $59,999"
"26-2514006",76105,"$150, 000 to $199, 999"
"26-2514006",770581,"$150, 000 to $199, 999"
"26-2514119",1252938,"$60,000 to $79,999"
"26-2514119",2145822,"$60,000 to $79,999"
"26-2514138",570018,"$150, 000 to $199, 999"
"26-2514439",173184,"$200, 000 to $299, 999"
"26-2514439",475271,"$200, 000 to $299, 999"
"26-2514439",2403537,"$200, 000 to $299, 999"
"26-2514439",2484969,"$200, 000 to $299, 999"
"26-2514542",1493572,"$30,000 to $39,999"
"26-2514542",1782020,"$30,000 to $39,999"
"26-2514542",1926539,"$30,000 to $39,999"
"26-2514542",2123214,"$30,000 to $39,999"
"26-2514648",131412,"$80,000 to $99,999"
"26-2514648",941338,"$80,000 to $99,999"
"26-2514648",2257793,"$80,000 to $99,999"
"26-2514681",1138436,"$300, 000 to $499, 999"
"26-2514681",1293782,"$300, 000 to $499, 999"
"26-2514681",1582355,"$300, 000 to $499, 999"
"26-2514681",1658348,"$300, 000 to $499, 999"
"26-2514689",736074,"$30,000 to $39,999"
"26-2514690",1558142,"$150,000 or more"
"26-2514917",14871,"$10,000 to $19,999"
"26-2514917",2221575,"$10,000 to $19,999"
"26-2514934",1195627,"$300, 000 to $499, 999"
"26-2514963",17526,"$60,000 to $79,999"
"26-2514963",2037269,"$60,000 to $79,999"
"26-2515011",1873606,"$100,000 to $149,999"
"26-2515011",1885848,"$100,000 to $149,999"
"26-2515112",1029467,"$150, 000 to $199, 999"
"26-2515112",1427576,"$150, 000 to $199, 999"
"26-2515223",1535552,"$100,000 to $149,999"
"26-2515314",2498621,"$150, 000 to $199, 999"
"26-2515361",1480113,"$50,000 to $59,999"
"26-2515361",2385718,"$50,000 to $59,999"
"26-2515392",648759,"$20,000 to $29,999"
"26-2515392",1094443,"$20,000 to $29,999"
"26-2515442",603430,"$150,000 or more"
"26-2515521",1608107,"$150, 000 to $199, 999"
"26-2515521",2378366,"$150, 000 to $199, 999"
"26-2515521",2536986,"$150, 000 to $199, 999"
"26-2515571",441546,"$150, 000 to $199, 999"
"26-2515571",983120,"$150, 000 to $199, 999"
"26-2515571",1028173,"$150, 000 to $199, 999"
"26-2515659",126738,"$100,000 to $149,999"
"26-2515659",749064,"$100,000 to $149,999"
"26-2515659",971963,"$100,000 to $149,999"
"26-2515659",1424038,"$100,000 to $149,999"
"26-2515817",2130527,"$100,000 to $149,999"
"26-2515817",2575933,"$100,000 to $149,999"
"26-2515836",1757092,"$150,000 or more"
"26-2515879",1642863,"$100,000 to $149,999"
"26-2515879",2633240,"$100,000 to $149,999"
"26-2515888",160067,"$100,000 to $149,999"
"26-2515888",2424294,"$100,000 to $149,999"
"26-2515919",12393,"$60,000 to $79,999"
"26-2515919",2137268,"$60,000 to $79,999"
"26-2515925",2162095,"$150, 000 to $199, 999"
"26-2515974",57097,"$40,000 to $49,999"
"26-2515974",500750,"$40,000 to $49,999"
"26-2515974",1257407,"$40,000 to $49,999"
"26-2515974",1690705,"$40,000 to $49,999"
"26-2516144",1006422,"$500, 000 or more"
"26-2516218",1608465,"$100,000 to $149,999"
"26-2516218",1963634,"$100,000 to $149,999"
"26-2516245",1503613,"$150, 000 to $199, 999"
"26-2516245",1514803,"$150, 000 to $199, 999"
"26-2516246",2186766,"$100,000 to $149,999"
"26-2516302",1911066,"$60,000 to $79,999"
"26-2516302",2347164,"$60,000 to $79,999"
"26-2516312",409271,"$80,000 to $99,999"
"26-2516312",848877,"$80,000 to $99,999"
"26-2516399",926795,"$200, 000 to $299, 999"
"26-2516399",2219399,"$200, 000 to $299, 999"
"26-2516419",38203,"$80,000 to $99,999"
"26-2516482",338417,"$10,000 to $19,999"
"26-2516482",1331910,"$10,000 to $19,999"
"26-2516543",698124,"$20,000 to $29,999"
"26-2516543",1757610,"$20,000 to $29,999"
"26-2516543",2074092,"$20,000 to $29,999"
"26-2516543",2225665,"$20,000 to $29,999"
"26-2516566",1593657,"Less than $10,000"
"26-2516709",676758,"$80,000 to $99,999"
"26-2516709",1693022,"$80,000 to $99,999"
"26-2516709",2461118,"$80,000 to $99,999"
"26-2516736",253757,"$150,000 or more"
"26-2516736",384773,"$150,000 or more"
"26-2516736",747884,"$150,000 or more"
"26-2516797",19783,"$150, 000 to $199, 999"
"26-2516797",370742,"$150, 000 to $199, 999"
"26-2516797",2363340,"$150, 000 to $199, 999"
"26-2516797",2488113,"$150, 000 to $199, 999"
"26-2516886",661300,"$150, 000 to $199, 999"
"26-2516886",2177077,"$150, 000 to $199, 999"
"26-2517022",1061062,"$150, 000 to $199, 999"
"26-2517022",1075378,"$150, 000 to $199, 999"
"26-2517022",2443781,"$150, 000 to $199, 999"
"26-2517022",2585219,"$150, 000 to $199, 999"
"26-2517036",312735,"$100,000 to $149,999"
"26-2517036",1183211,"$100,000 to $149,999"
"26-2517123",262561,"$200, 000 to $299, 999"
"26-2517123",2422118,"$200, 000 to $299, 999"
"26-2517147",1260850,"$150, 000 to $199, 999"
"26-2517147",1332422,"$150, 000 to $199, 999"
"26-2517195",5740,"$150, 000 to $199, 999"
"26-2517195",1144098,"$150, 000 to $199, 999"
"26-2517196",1201738,"$100,000 to $149,999"
"26-2517196",1971571,"$100,000 to $149,999"
"26-2517348",388570,"$50,000 to $59,999"
"26-2517348",719982,"$50,000 to $59,999"
"26-2517348",2051382,"$50,000 to $59,999"
"26-2517372",555460,"$10,000 to $19,999"
"26-2517372",1069517,"$10,000 to $19,999"
"26-2517372",1809492,"$10,000 to $19,999"
"26-2517409",1075589,"$80,000 to $99,999"
"26-2517484",86326,"$20,000 to $29,999"
"26-2517484",90493,"$20,000 to $29,999"
"26-2517484",498983,"$20,000 to $29,999"
"26-2517484",973801,"$20,000 to $29,999"
"26-2517484",1748932,"$20,000 to $29,999"
"26-2517535",2014592,"$100,000 to $149,999"
"26-2517589",1753233,"$300, 000 to $499, 999"
"26-2517611",374388,"$150,000 or more"
"26-2517611",1549729,"$150,000 or more"
"26-2517611",1979160,"$150,000 or more"
"26-2517663",1318135,"$300, 000 to $499, 999"
"26-2517663",1501130,"$300, 000 to $499, 999"
"26-2517708",1654792,"$300, 000 to $499, 999"
"26-2517714",2391524,"$30,000 to $39,999"
"26-2517714",2401113,"$30,000 to $39,999"
"26-2517720",1583839,"$150,000 or more"
"26-2517829",946165,"$100,000 to $149,999"
"26-2517829",2629956,"$100,000 to $149,999"
"26-2517841",1145192,"$300, 000 to $499, 999"
"26-2517841",1720106,"$300, 000 to $499, 999"
"26-2517928",170186,"$150, 000 to $199, 999"
"26-2517928",2600035,"$150, 000 to $199, 999"
"26-2518021",191251,"$100,000 to $149,999"
"26-2518021",514164,"$100,000 to $149,999"
"26-2518021",736321,"$100,000 to $149,999"
"26-2518023",1707042,"$150,000 or more"
"26-2518023",2023059,"$150,000 or more"
"26-2518072",735193,"$150,000 or more"
"26-2518072",2043086,"$150,000 or more"
"26-2518275",1354486,"$200, 000 to $299, 999"
"26-2518275",2415232,"$200, 000 to $299, 999"
"26-2518322",706151,"$150, 000 to $199, 999"
"26-2518322",2235070,"$150, 000 to $199, 999"
"26-2518329",415703,"$80,000 to $99,999"
"26-2518329",1823097,"$80,000 to $99,999"
"26-2518329",2038703,"$80,000 to $99,999"
"26-2518329",2336407,"$80,000 to $99,999"
"26-2518329",2569365,"$80,000 to $99,999"
"26-2518345",1988289,"$200, 000 to $299, 999"
"26-2518355",921851,"$80,000 to $99,999"
"26-2518362",1035834,"$30,000 to $39,999"
"26-2518364",1567944,"$150, 000 to $199, 999"
"26-2518364",1743516,"$150, 000 to $199, 999"
"26-2518364",2625236,"$150, 000 to $199, 999"
"26-2518403",433426,"$100,000 to $149,999"
"26-2518403",1151403,"$100,000 to $149,999"
"26-2518491",950195,"$150, 000 to $199, 999"
"26-2518491",1361838,"$150, 000 to $199, 999"
"26-2518491",2300117,"$150, 000 to $199, 999"
"26-2518556",2088914,"$80,000 to $99,999"
"26-2518615",883981,"$50,000 to $59,999"
"26-2518615",1266809,"$50,000 to $59,999"
"26-2518615",1735475,"$50,000 to $59,999"
"26-2518615",2535442,"$50,000 to $59,999"
"26-2518851",956967,"$50,000 to $59,999"
"26-2518858",1700064,"$200, 000 to $299, 999"
"26-2518858",1996585,"$200, 000 to $299, 999"
"26-2518938",1468501,"$500, 000 or more"
"26-2519026",3490,"$150,000 or more"
"26-2519026",2171716,"$150,000 or more"
"26-2519026",2601402,"$150,000 or more"
"26-2519060",1118518,"$500, 000 or more"
"26-2519060",1407740,"$500, 000 or more"
"26-2519133",123209,"$30,000 to $39,999"
"26-2519159",1398504,"$60,000 to $79,999"
"26-2519159",1783115,"$60,000 to $79,999"
"26-2519222",411063,"$200, 000 to $299, 999"
"26-2519222",1341868,"$200, 000 to $299, 999"
"26-2519222",1888544,"$200, 000 to $299, 999"
"26-2519420",289286,"$150, 000 to $199, 999"
"26-2519420",2173034,"$150, 000 to $199, 999"
"26-2519481",778550,"$100,000 to $149,999"
"26-2519544",2092159,"$150,000 or more"
"26-2519668",213207,"$40,000 to $49,999"
"26-2519668",2548465,"$40,000 to $49,999"
"26-2519719",44735,"$150, 000 to $199, 999"
"26-2519719",1245499,"$150, 000 to $199, 999"
"26-2519764",2228997,"$500, 000 or more"
"26-2519884",2154348,"$40,000 to $49,999"
"26-2519945",729906,"$200, 000 to $299, 999"
"26-2519945",803208,"$200, 000 to $299, 999"
"26-2519945",1488197,"$200, 000 to $299, 999"
"26-2519945",2324876,"$200, 000 to $299, 999"
"26-2519945",2395664,"$200, 000 to $299, 999"
"26-2521202",822637,"$150,000 or more"
"26-2521202",1270903,"$150,000 or more"
"26-2521202",1568404,"$150,000 or more"
"26-2521340",2400544,"$100,000 to $149,999"
"26-2521410",2405973,"$150,000 or more"
"26-2521417",543867,"$150, 000 to $199, 999"
"26-2521417",581196,"$150, 000 to $199, 999"
"26-2521417",915284,"$150, 000 to $199, 999"
"26-2521417",1490388,"$150, 000 to $199, 999"
"26-2521417",1815589,"$150, 000 to $199, 999"
"26-2521493",1836641,"$200, 000 to $299, 999"
"26-2521560",2447649,"$150,000 or more"
"26-2521560",2516885,"$150,000 or more"
"26-2521638",92771,"$150, 000 to $199, 999"
"26-2521645",2528428,"$60,000 to $79,999"
"26-2521763",1955616,"$100,000 to $149,999"
"26-2521845",378880,"$300, 000 to $499, 999"
"26-2521845",2276551,"$300, 000 to $499, 999"
"26-2522024",697923,"$50,000 to $59,999"
"26-2522059",1205498,"$100,000 to $149,999"
"26-2522151",528314,"$50,000 to $59,999"
"26-2522151",1560694,"$50,000 to $59,999"
"26-2522151",2349206,"$50,000 to $59,999"
"26-2522188",739648,"$20,000 to $29,999"
"26-2522188",1241491,"$20,000 to $29,999"
"26-2522188",1384352,"$20,000 to $29,999"
"26-2522318",779786,"$150, 000 to $199, 999"
"26-2522339",1441822,"$200, 000 to $299, 999"
"26-2522339",1829583,"$200, 000 to $299, 999"
"26-2522398",1472764,"$150, 000 to $199, 999"
"26-2522719",1654217,"$150, 000 to $199, 999"
"26-2522753",1054915,"$200, 000 to $299, 999"
"26-2522753",1213744,"$200, 000 to $299, 999"
"26-2522753",1470784,"$200, 000 to $299, 999"
"26-2522801",1355961,"$300, 000 to $499, 999"
"26-2522929",1145681,"$20,000 to $29,999"
"26-2522981",699831,"$100,000 to $149,999"
"26-2522981",752519,"$100,000 to $149,999"
"26-2522981",1873896,"$100,000 to $149,999"
"26-2523198",10357,"$100,000 to $149,999"
"26-2523198",1816359,"$100,000 to $149,999"
"26-2523198",1847950,"$100,000 to $149,999"
"26-2523217",743842,"$100,000 to $149,999"
"26-2523217",943772,"$100,000 to $149,999"
"26-2523217",1605027,"$100,000 to $149,999"
"26-2523217",1742798,"$100,000 to $149,999"
"26-2523261",414897,"$150, 000 to $199, 999"
"26-2523261",597186,"$150, 000 to $199, 999"
"26-2523324",795761,"$100,000 to $149,999"
"26-2523335",395989,"$80,000 to $99,999"
"26-2523335",1443798,"$80,000 to $99,999"
"26-2523380",554942,"$50,000 to $59,999"
"26-2523380",1118183,"$50,000 to $59,999"
"26-2523380",2136328,"$50,000 to $59,999"
"26-2523396",203068,"$100,000 to $149,999"
"26-2523396",1753878,"$100,000 to $149,999"
"26-2523396",2411070,"$100,000 to $149,999"
"26-2523396",2605053,"$100,000 to $149,999"
"26-2523501",315613,"$500, 000 or more"
"26-2523569",1137326,"$60,000 to $79,999"
"26-2523569",2481354,"$60,000 to $79,999"
"26-2523606",2346201,"$150, 000 to $199, 999"
"26-2523674",511947,"$100,000 to $149,999"
"26-2523674",1002650,"$100,000 to $149,999"
"26-2523916",1450048,"$500, 000 or more"
"26-2523921",15836,"$150,000 or more"
"26-2523921",427422,"$150,000 or more"
"26-2523926",147956,"$80,000 to $99,999"
"26-2523926",828171,"$80,000 to $99,999"
"26-2523926",1724583,"$80,000 to $99,999"
"26-2524002",391596,"$80,000 to $99,999"
"26-2524002",1871677,"$80,000 to $99,999"
"26-2524070",510283,"$100,000 to $149,999"
"26-2524070",1005814,"$100,000 to $149,999"
"26-2524070",2016441,"$100,000 to $149,999"
"26-2524117",41036,"$200, 000 to $299, 999"
"26-2524117",1020501,"$200, 000 to $299, 999"
"26-2524117",1605838,"$200, 000 to $299, 999"
"26-2524150",654780,"$60,000 to $79,999"
"26-2524150",1066371,"$60,000 to $79,999"
"26-2524150",1335235,"$60,000 to $79,999"
"26-2524214",366290,"$150, 000 to $199, 999"
"26-2524276",960055,"$200, 000 to $299, 999"
"26-2524276",2064134,"$200, 000 to $299, 999"
"26-2524294",2308034,"$200, 000 to $299, 999"
"26-2524317",1158374,"$150,000 or more"
"26-2524317",1709824,"$150,000 or more"
"26-2524317",2051438,"$150,000 or more"
"26-2524317",2078022,"$150,000 or more"
"26-2524334",288241,"$300, 000 to $499, 999"
"26-2524334",304106,"$300, 000 to $499, 999"
"26-2524334",961852,"$300, 000 to $499, 999"
"26-2524447",724616,"$500, 000 or more"
"26-2524447",2600690,"$500, 000 or more"
"26-2524594",471312,"$500, 000 or more"
"26-2524648",37932,"$80,000 to $99,999"
"26-2524648",973340,"$80,000 to $99,999"
"26-2524648",1824506,"$80,000 to $99,999"
"26-2524662",258152,"$100,000 to $149,999"
"26-2524662",1171603,"$100,000 to $149,999"
"26-2524662",1663174,"$100,000 to $149,999"
"26-2524662",1832197,"$100,000 to $149,999"
"26-2524726",936763,"$200, 000 to $299, 999"
"26-2524726",1581538,"$200, 000 to $299, 999"
"26-2524849",137090,"$100,000 to $149,999"
"26-2524880",119447,"$60,000 to $79,999"
"26-2524880",988412,"$60,000 to $79,999"
"26-2524894",218562,"$150,000 or more"
"26-2524894",890815,"$150,000 or more"
"26-2524894",1307309,"$150,000 or more"
"26-2524894",2090520,"$150,000 or more"
"26-2524946",1336800,"$150,000 or more"
"26-2524946",1413437,"$150,000 or more"
"26-2524946",2330933,"$150,000 or more"
"26-2525115",146543,"$80,000 to $99,999"
"26-2525115",656796,"$80,000 to $99,999"
"26-2525115",2252406,"$80,000 to $99,999"
"26-2525191",756219,"$100,000 to $149,999"
"26-2525191",1414852,"$100,000 to $149,999"
"26-2525191",2065849,"$100,000 to $149,999"
"26-2525339",435020,"$100,000 to $149,999"
"26-2525339",526609,"$100,000 to $149,999"
"26-2525339",2042493,"$100,000 to $149,999"
"26-2525400",709533,"$20,000 to $29,999"
"26-2525400",930711,"$20,000 to $29,999"
"26-2525400",1592929,"$20,000 to $29,999"
"26-2525502",1854117,"$100,000 to $149,999"
"26-2525539",561085,"$30,000 to $39,999"
"26-2525539",857433,"$30,000 to $39,999"
"26-2525574",136985,"$20,000 to $29,999"
"26-2525574",617505,"$20,000 to $29,999"
"26-2525574",624642,"$20,000 to $29,999"
"26-2525574",2444568,"$20,000 to $29,999"
"26-2525647",1964603,"$150, 000 to $199, 999"
"26-2525647",2617653,"$150, 000 to $199, 999"
"26-2525647",2648459,"$150, 000 to $199, 999"
"26-2525778",1926616,"$150, 000 to $199, 999"
"26-2525778",2290458,"$150, 000 to $199, 999"
"26-2525934",741562,"$150, 000 to $199, 999"
"26-2525983",2334437,"$150, 000 to $199, 999"
"26-2525983",2355705,"$150, 000 to $199, 999"
"26-2525986",1748111,"$150,000 or more"
"26-2525986",2203622,"$150,000 or more"
"26-2526224",776832,"$150,000 or more"
"26-2526224",1193886,"$150,000 or more"
"26-2526268",2553218,"$150, 000 to $199, 999"
"26-2526298",182597,"$300, 000 to $499, 999"
"26-2526298",2235289,"$300, 000 to $499, 999"
"26-2526298",2647576,"$300, 000 to $499, 999"
"26-2526363",43542,"$150, 000 to $199, 999"
"26-2526363",164432,"$150, 000 to $199, 999"
"26-2526363",649370,"$150, 000 to $199, 999"
"26-2526363",2243507,"$150, 000 to $199, 999"
"26-2526459",750435,"$150, 000 to $199, 999"
"26-2526459",1689101,"$150, 000 to $199, 999"
"26-2526459",2125732,"$150, 000 to $199, 999"
"26-2526485",2445531,"$150, 000 to $199, 999"
"26-2526485",2530838,"$150, 000 to $199, 999"
"26-2526617",404387,"$200, 000 to $299, 999"
"26-2526690",161769,"$20,000 to $29,999"
"26-2526690",1935599,"$20,000 to $29,999"
"26-2526690",2586632,"$20,000 to $29,999"
"26-2526705",1965330,"$200, 000 to $299, 999"
"26-2526705",2381416,"$200, 000 to $299, 999"
"26-2526780",1117199,"$100,000 to $149,999"
"26-2526855",622659,"$100,000 to $149,999"
"26-2526855",1765823,"$100,000 to $149,999"
"26-2526855",2077532,"$100,000 to $149,999"
"26-2526855",2193125,"$100,000 to $149,999"
"26-2526858",207972,"$150,000 or more"
"26-2526858",1871468,"$150,000 or more"
"26-2526889",837391,"$150,000 or more"
"26-2526889",1874659,"$150,000 or more"
"26-2526889",2095953,"$150,000 or more"
"26-2526889",2442624,"$150,000 or more"
"26-2526931",1154946,"$20,000 to $29,999"
"26-2527016",328375,"$150,000 or more"
"26-2527016",1870980,"$150,000 or more"
"26-2527016",2495211,"$150,000 or more"
"26-2527044",220646,"$150, 000 to $199, 999"
"26-2527083",1421786,"$150,000 or more"
"26-2527083",1778886,"$150,000 or more"
"26-2527083",1969685,"$150,000 or more"
"26-2527083",2354134,"$150,000 or more"
"26-2527115",287914,"$100,000 to $149,999"
"26-2527133",677985,"$150,000 or more"
"26-2527133",2387561,"$150,000 or more"
"26-2527189",751017,"$150,000 or more"
"26-2527189",1588441,"$150,000 or more"
"26-2527220",78548,"$100,000 to $149,999"
"26-2527220",163363,"$100,000 to $149,999"
"26-2527220",418446,"$100,000 to $149,999"
"26-2527220",419681,"$100,000 to $149,999"
"26-2527422",1424850,"$50,000 to $59,999"
"26-2527422",1614669,"$50,000 to $59,999"
"26-2527422",1961215,"$50,000 to $59,999"
"26-2527422",2458152,"$50,000 to $59,999"
"26-2527486",1285956,"$300, 000 to $499, 999"
"26-2527486",1499350,"$300, 000 to $499, 999"
"26-2527511",2381592,"$300, 000 to $499, 999"
"26-2527539",990110,"$80,000 to $99,999"
"26-2527590",143242,"$150, 000 to $199, 999"
"26-2527590",1337471,"$150, 000 to $199, 999"
"26-2527590",2116261,"$150, 000 to $199, 999"
"26-2527681",1539517,"$30,000 to $39,999"
"26-2527830",1331758,"$200, 000 to $299, 999"
"26-2527830",1707484,"$200, 000 to $299, 999"
"26-2527898",1727056,"$150, 000 to $199, 999"
"26-2527931",195872,"$50,000 to $59,999"
"26-2527931",2593061,"$50,000 to $59,999"
"26-2528008",1322632,"$60,000 to $79,999"
"26-2528168",285805,"$500, 000 or more"
"26-2528168",640535,"$500, 000 or more"
"26-2528192",491232,"$50,000 to $59,999"
"26-2528192",574584,"$50,000 to $59,999"
"26-2528192",2109157,"$50,000 to $59,999"
"26-2528197",1037058,"$500, 000 or more"
"26-2528197",1705308,"$500, 000 or more"
"26-2528278",387598,"$100,000 to $149,999"
"26-2528278",1327534,"$100,000 to $149,999"
"26-2528282",250406,"$300, 000 to $499, 999"
"26-2528282",912023,"$300, 000 to $499, 999"
"26-2528282",1811031,"$300, 000 to $499, 999"
"26-2528282",1832213,"$300, 000 to $499, 999"
"26-2528282",2034432,"$300, 000 to $499, 999"
"26-2528353",1835039,"$100,000 to $149,999"
"26-2528353",2236639,"$100,000 to $149,999"
"26-2528488",551997,"$150, 000 to $199, 999"
"26-2528488",713021,"$150, 000 to $199, 999"
"26-2528496",634829,"$150,000 or more"
"26-2528496",2642302,"$150,000 or more"
"26-2528510",163396,"$150, 000 to $199, 999"
"26-2528510",365971,"$150, 000 to $199, 999"
"26-2528510",793068,"$150, 000 to $199, 999"
"26-2528510",1083488,"$150, 000 to $199, 999"
"26-2528646",479795,"$80,000 to $99,999"
"26-2528646",1926023,"$80,000 to $99,999"
"26-2528675",946672,"$20,000 to $29,999"
"26-2528675",1880377,"$20,000 to $29,999"
"26-2528734",2445471,"$150,000 or more"
"26-2528743",1066116,"$40,000 to $49,999"
"26-2528901",508992,"$150, 000 to $199, 999"
"26-2528901",1131339,"$150, 000 to $199, 999"
"26-2529083",2014253,"$150,000 or more"
"26-2529217",2392131,"$500, 000 or more"
"26-2529217",2491618,"$500, 000 or more"
"26-2529217",2540163,"$500, 000 or more"
"26-2529314",838784,"$30,000 to $39,999"
"26-2529314",1832651,"$30,000 to $39,999"
"26-2529352",641820,"$80,000 to $99,999"
"26-2529352",1208628,"$80,000 to $99,999"
"26-2529352",1954662,"$80,000 to $99,999"
"26-2529478",223637,"$100,000 to $149,999"
"26-2529491",1846054,"$100,000 to $149,999"
"26-2529512",370022,"$150,000 or more"
"26-2529597",138265,"$150, 000 to $199, 999"
"26-2529597",308853,"$150, 000 to $199, 999"
"26-2529597",1877982,"$150, 000 to $199, 999"
"26-2529597",1896104,"$150, 000 to $199, 999"
"26-2529597",2201489,"$150, 000 to $199, 999"
"26-2529597",2547737,"$150, 000 to $199, 999"
"26-2529678",289669,"$150, 000 to $199, 999"
